id,lang,split,tweet,soft_label,hard_label
100001,es,TRAIN_ES,"@TheChiflis Ignora al otro, es un capullo.El problema con este youtuber denuncia el acoso... cuando no afecta a la gente de izquierdas. Por ejemplo, en su video sobre el gamergate presenta como ""normal"" el acoso que reciben Fisher, Anita o Zöey cuando hubo hasta amenazas de bomba.","{'OBJECTIFICATION': 0.33333333333333304, 'SEXUAL-VIOLENCE': 0.33333333333333304, 'NO': 0.16666666666666602, 'STEREOTYPING-DOMINANCE': 0.16666666666666602, 'IDEOLOGICAL-INEQUALITY': 0.16666666666666602, 'MISOGYNY-NON-SEXUAL-VIOLENCE': 0.16666666666666602}","['OBJECTIFICATION', 'SEXUAL-VIOLENCE']"
100002,es,TRAIN_ES,@ultimonomada_ Si comicsgate se parece en algo a gamergate pues muy bien por el acoso. Y si se está haciendo un sabotaje porque hay personajes que no os gustan entonces gracias por darme la razón. Sois unos lloricas ofendidos.,"{'NO': 0.833333333333333, 'OBJECTIFICATION': 0.16666666666666602, 'IDEOLOGICAL-INEQUALITY': 0.0, 'STEREOTYPING-DOMINANCE': 0.0, 'MISOGYNY-NON-SEXUAL-VIOLENCE': 0.0, 'SEXUAL-VIOLENCE': 0.0}",['NO']
100003,es,TRAIN_ES,"@Steven2897 Lee sobre Gamergate, y como eso ha cambiado la manera en la cual nos comunicamos en el internet. Los fanboys de Halo están tóxicos pero los fanboys de otras comunidades/juegos también han querido coger pauta con eso 🤷🏾‍♂️","{'NO': 1.0, 'IDEOLOGICAL-INEQUALITY': 0.0, 'STEREOTYPING-DOMINANCE': 0.0, 'MISOGYNY-NON-SEXUAL-VIOLENCE': 0.0, 'SEXUAL-VIOLENCE': 0.0, 'OBJECTIFICATION': 0.0}",['NO']
100004,es,TRAIN_ES,"@Lunariita7 Un retraso social bastante lamentable, gamergate, trump, y aquí en españa pues lo que tenemos...","{'NO': 0.5, 'IDEOLOGICAL-INEQUALITY': 0.5, 'OBJECTIFICATION': 0.16666666666666602, 'SEXUAL-VIOLENCE': 0.16666666666666602, 'STEREOTYPING-DOMINANCE': 0.0, 'MISOGYNY-NON-SEXUAL-VIOLENCE': 0.0}",
100005,es,TRAIN_ES,"@novadragon21 @icep4ck @TvDannyZ Entonces como así es el mercado lo mejor no es hacer algo para cambiarlo y seguir alimentando el machismo en los consumidores en lugar apoyar a gente como las víctimas del gamergate.Acerca de lo otro, el ""tenían"" implica un imperativo entonces no entiendo lo del buscaban.","{'STEREOTYPING-DOMINANCE': 0.5, 'OBJECTIFICATION': 0.5, 'NO': 0.33333333333333304, 'IDEOLOGICAL-INEQUALITY': 0.33333333333333304, 'MISOGYNY-NON-SEXUAL-VIOLENCE': 0.0, 'SEXUAL-VIOLENCE': 0.0}","['STEREOTYPING-DOMINANCE', 'OBJECTIFICATION', 'IDEOLOGICAL-INEQUALITY']"
100006,es,TRAIN_ES,"@yonkykong Aaah sí. Andrew Dobson. El que se dedicó a echar mierda del gamergate al más puro estilo white knight, y todo deviantart se le echó encima","{'NO': 1.0, 'IDEOLOGICAL-INEQUALITY': 0.0, 'STEREOTYPING-DOMINANCE': 0.0, 'MISOGYNY-NON-SEXUAL-VIOLENCE': 0.0, 'SEXUAL-VIOLENCE': 0.0, 'OBJECTIFICATION': 0.0}",['NO']
100007,es,TRAIN_ES,"@glutamatom @JoaquinAdolfoC Estaba del lado del Gamergate si mal no recuerdo. Encaja con el perfil de THQ Nordic, lol","{'NO': 0.6000000000000001, 'MISOGYNY-NON-SEXUAL-VIOLENCE': 0.4, 'IDEOLOGICAL-INEQUALITY': 0.0, 'STEREOTYPING-DOMINANCE': 0.0, 'SEXUAL-VIOLENCE': 0.0, 'OBJECTIFICATION': 0.0}",
100008,es,TRAIN_ES,"@BestKabest Esta gringa sigue llorando por el gamergate, que ""coincidencia"" que tenga pronombres en su perfil","{'IDEOLOGICAL-INEQUALITY': 0.6666666666666661, 'STEREOTYPING-DOMINANCE': 0.33333333333333304, 'OBJECTIFICATION': 0.16666666666666602, 'MISOGYNY-NON-SEXUAL-VIOLENCE': 0.16666666666666602, 'NO': 0.0, 'SEXUAL-VIOLENCE': 0.0}","['IDEOLOGICAL-INEQUALITY', 'STEREOTYPING-DOMINANCE']"
100009,es,TRAIN_ES,.¿Conoces la #DECORACION #estilo #GAMER para #adolescentes  ?Te lo explicamos en nuestro #post : ❤️ https://t.co/NuSNs36GIT¿Nos sigues?#inspiracionalcuadrado #interiorismo #homedecorideas #Madrid #chamberi #Salamanca #gamers #GAMERGATE #gamergirl https://t.co/Mcibiy8YdX,"{'NO': 1.0, 'IDEOLOGICAL-INEQUALITY': 0.0, 'STEREOTYPING-DOMINANCE': 0.0, 'MISOGYNY-NON-SEXUAL-VIOLENCE': 0.0, 'SEXUAL-VIOLENCE': 0.0, 'OBJECTIFICATION': 0.0}",['NO']
100010,es,TRAIN_ES,CES 2022 ASUS ROG Rise of Gamers Evento de lanzamiento https://t.co/CjqHQwxMFD #AMD2022 #AMD #AMDRedTeam #AMDRyzen #Intel #nvidia #NVIDIAOmniverse #NVIDIAGeForce #NVIDIAStudio #gamergirl #gamers #GamerGate #GamersUnite #gameroom #StockMarket #stocks #StocksToBuy #Stock,"{'NO': 0.833333333333333, 'STEREOTYPING-DOMINANCE': 0.16666666666666602, 'IDEOLOGICAL-INEQUALITY': 0.0, 'MISOGYNY-NON-SEXUAL-VIOLENCE': 0.0, 'SEXUAL-VIOLENCE': 0.0, 'OBJECTIFICATION': 0.0}",['NO']
